# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1782188938052000000,1782188998052000000,0
workspaceModel.pre.handlers.ms,1782188938052000000,1782188998052000000,0
workspaceModel.initializing.ms,1782188938052000000,1782188998052000000,0
workspaceModel.updates.count,1782188938052000000,1782188998052000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1782188938052000000,1782188998052000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1782188938052000000,1782188998052000000,0
workspaceModel.cachedValue.calculated.count,1782188938052000000,1782188998052000000,1
workspaceModel.loading.total.ms,1782188938052000000,1782188998052000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1782188938052000000,1782188998052000000,0
workspaceModel.collect.changes.ms,1782188938052000000,1782188998052000000,0
workspaceModel.replace.project.model.ms,1782188938052000000,1782188998052000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1782188938052000000,1782188998052000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1782188938052000000,1782188998052000000,0
